Threshold,Precision,Recall,F1_Score,True_Positives,False_Positives,True_Negatives,False_Negatives,Predicted_Positive_Rate,Conversion_Rate_Predicted_Positive,Business_Value_Score,Optimal_For
0.1,0.5283,0.9655,0.6829,28,25,6,1,0.8833,0.5283,0.0595,F1_Score
0.15,0.5319,0.8621,0.6579,25,22,9,4,0.7833,0.5319,0.0994,
0.2,0.5714,0.8276,0.6761,24,18,13,5,0.7,0.5714,0.1419,
0.25,0.5946,0.7586,0.6667,22,15,16,7,0.6167,0.5946,0.1729,
0.3,0.5806,0.6207,0.6,18,13,18,11,0.5167,0.5806,0.1742,
0.35,0.6,0.5172,0.5556,15,10,21,14,0.4167,0.6,0.181,
0.4,0.6364,0.4828,0.549,14,8,23,15,0.3667,0.6364,0.1946,Business_Value
0.45,0.65,0.4483,0.5306,13,7,24,16,0.3333,0.65,0.1943,
0.5,0.6316,0.4138,0.5,12,7,24,17,0.3167,0.6316,0.1786,
0.55,0.5882,0.3448,0.4348,10,7,24,19,0.2833,0.5882,0.1454,
0.6,0.5625,0.3103,0.4,9,7,24,20,0.2667,0.5625,0.128,
0.65,0.6154,0.2759,0.381,8,5,26,21,0.2167,0.6154,0.133,
0.7,0.6667,0.2759,0.3902,8,4,27,21,0.2,0.6667,0.1471,
0.75,0.7273,0.2759,0.4,8,3,28,21,0.1833,0.7273,0.1638,
0.8,0.6,0.1034,0.1765,3,2,29,26,0.0833,0.6,0.0569,
0.85,0.5,0.069,0.1212,2,2,29,27,0.0667,0.5,0.0322,
